contract_version,dataset_id,source_system,source_record_id,supplier_code,document_number,document_type,issue_date,posting_date,reporting_period_start,reporting_period_end,currency,declared_net,declared_tax,declared_gross,line_number,description,item_code,quantity,unit_price,net_amount,tax_category,tax_rate,tax_amount,gross_amount,line_currency
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000001,SUP-001,INV-202607-000001,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,2822.38,254.01,3076.39,1,"Synthetic service, invoice 000001 line 01",ITEM-001,2.0000,468.19,936.38,STANDARD_RATED,0.0900,84.27,1020.65,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000001,SUP-001,INV-202607-000001,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,2822.38,254.01,3076.39,2,"Synthetic service, invoice 000001 line 02",ITEM-002,4.0000,471.50,1886.00,STANDARD_RATED,0.0900,169.74,2055.74,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000002,SUP-002,INV-202607-000002,INVOICE,2026-07-19,2026-07-21,2026-07-01,2026-08-01,SGD,3189.25,287.03,3476.28,1,"Synthetic service, invoice 000002 line 01",ITEM-001,5.0000,296.42,1482.10,STANDARD_RATED,0.0900,133.39,1615.49,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000002,SUP-002,INV-202607-000002,INVOICE,2026-07-19,2026-07-21,2026-07-01,2026-08-01,SGD,3189.25,287.03,3476.28,2,"Synthetic service, invoice 000002 line 02",ITEM-002,5.0000,341.43,1707.15,STANDARD_RATED,0.0900,153.64,1860.79,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000003,SUP-003,INV-202607-000003,INVOICE,2026-07-14,2026-07-15,2026-07-01,2026-08-01,SGD,663.50,59.72,723.22,1,"Synthetic service, invoice 000003 line 01",ITEM-001,2.0000,331.75,663.50,STANDARD_RATED,0.0900,59.72,723.22,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000004,SUP-004,INV-202607-000004,INVOICE,2026-07-06,2026-07-07,2026-07-01,2026-08-01,SGD,773.38,69.60,842.98,1,"Synthetic service, invoice 000004 line 01",ITEM-001,2.0000,386.69,773.38,STANDARD_RATED,0.0900,69.60,842.98,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000005,SUP-005,INV-202607-000005,INVOICE,2026-07-10,2026-07-11,2026-07-01,2026-08-01,SGD,504.41,45.39,549.80,1,"Synthetic service, invoice 000005 line 01",ITEM-001,2.0000,38.47,76.94,STANDARD_RATED,0.0900,6.92,83.86,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000005,SUP-005,INV-202607-000005,INVOICE,2026-07-10,2026-07-11,2026-07-01,2026-08-01,SGD,504.41,45.39,549.80,2,"Synthetic service, invoice 000005 line 02",ITEM-002,1.0000,427.47,427.47,STANDARD_RATED,0.0900,38.47,465.94,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000006,SUP-006,INV-202607-000006,INVOICE,2026-07-02,2026-07-04,2026-07-01,2026-08-01,SGD,902.66,81.24,983.90,1,"Synthetic service, invoice 000006 line 01",ITEM-001,2.0000,27.07,54.14,STANDARD_RATED,0.0900,4.87,59.01,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000006,SUP-006,INV-202607-000006,INVOICE,2026-07-02,2026-07-04,2026-07-01,2026-08-01,SGD,902.66,81.24,983.90,2,"Synthetic service, invoice 000006 line 02",ITEM-002,2.0000,424.26,848.52,STANDARD_RATED,0.0900,76.37,924.89,SGD
