contract_version,dataset_id,source_system,source_record_id,account_code,counterparty_reference,document_reference,posting_date,reporting_period_start,reporting_period_end,currency,debit_amount,credit_amount,tax_amount
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000001,EXP.5000,SUP-001,INV-202607-000001,2026-07-12,2026-07-01,2026-08-01,SGD,3076.39,0.00,254.01
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000002,EXP.5000,SUP-002,INV-202607-000002,2026-07-21,2026-07-01,2026-08-01,SGD,3476.28,0.00,287.03
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000003,EXP.5000,SUP-003,INV-202607-000003,2026-07-15,2026-07-01,2026-08-01,SGD,723.22,0.00,59.72
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000004,EXP.5000,SUP-004,INV-202607-000004,2026-07-07,2026-07-01,2026-08-01,SGD,842.98,0.00,69.60
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000005,EXP.5000,SUP-005,INV-202607-000005,2026-07-11,2026-07-01,2026-08-01,SGD,549.80,0.00,45.39
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000006,EXP.5000,SUP-006,INV-202607-000006,2026-07-04,2026-07-01,2026-08-01,SGD,983.90,0.00,81.24
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000007,EXP.5000,SUP-007,INV-202607-000007,2026-07-12,2026-07-01,2026-08-01,SGD,2935.64,0.00,242.39
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000008,EXP.5000,SUP-008,INV-202607-000008,2026-07-17,2026-07-01,2026-08-01,SGD,1339.92,0.00,110.64
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000009,EXP.5000,SUP-009,INV-202607-000009,2026-07-09,2026-07-01,2026-08-01,SGD,1519.69,0.00,125.48
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000010,EXP.5000,SUP-010,INV-202607-000010,2026-07-17,2026-07-01,2026-08-01,SGD,1106.90,0.00,91.39
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000011,EXP.5000,SUP-001,INV-202607-000011,2026-07-12,2026-07-01,2026-08-01,SGD,401.40,0.00,33.14
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000012,EXP.5000,SUP-002,INV-202607-000012,2026-07-09,2026-07-01,2026-08-01,SGD,598.08,0.00,49.38
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000013,EXP.5000,SUP-003,INV-202607-000013,2026-07-19,2026-07-01,2026-08-01,SGD,1595.89,0.00,131.77
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000014,EXP.5000,SUP-004,INV-202607-000014,2026-07-07,2026-07-01,2026-08-01,SGD,2635.13,0.00,217.58
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000015,EXP.5000,SUP-005,INV-202607-000015,2026-07-17,2026-07-01,2026-08-01,SGD,1290.34,0.00,106.54
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000016,EXP.5000,SUP-006,INV-202607-000016,2026-07-12,2026-07-01,2026-08-01,SGD,1394.48,0.00,115.14
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000017,EXP.5000,SUP-007,INV-202607-000017,2026-07-21,2026-07-01,2026-08-01,SGD,294.17,0.00,24.29
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000018,EXP.5000,SUP-008,INV-202607-000018,2026-07-22,2026-07-01,2026-08-01,SGD,1319.29,0.00,108.94
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000019,EXP.5000,SUP-009,INV-202607-000019,2026-07-15,2026-07-01,2026-08-01,SGD,1167.56,0.00,96.40
